latent.est,latent.errors,IPW.est,IPW.errors,linear,match,nieve
0.547355376428376,0.0526446235716237,0.716015292318213,0.116015292318214,0.220685326935257,0.132574799244912,0.303920931908306
0.524950799641785,0.0750492003582146,0.694237941360895,0.0942379413608952,0.202913192315189,0.100573290244772,0.283447896870781
0.514602533199622,0.0853974668003782,0.698348703924955,0.098348703924955,0.216116453717487,0.134252110630716,0.287405431799618
0.519287384648868,0.0807126153511318,0.696019052229061,0.0960190522290609,0.221618541549803,0.110705748779292,0.289188945123301
0.535220305854951,0.0647796941450494,0.731402203315843,0.131402203315843,0.234687454307893,0.153277809648424,0.33902103621866
0.550847869880424,0.0491521301195762,0.733566036611925,0.133566036611925,0.240749744783212,0.136831950822086,0.307918959507302
0.545352908526348,0.0546470914736521,0.698338689590014,0.098338689590014,0.210134336120869,0.0916982231322371,0.327891209376427
0.574591196806834,0.0254088031931656,0.767282487532044,0.167282487532044,0.261527185721881,0.172248235515167,0.332344982001826
0.500812043270096,0.099187956729904,0.66281130838499,0.0628113083849898,0.182660044727555,0.0404387887672433,0.264363512801967
0.487591854564097,0.112408145435903,0.665935603943886,0.065935603943886,0.197493264020187,0.0634947750355207,0.259824025534645
0.554903913917235,0.0450960860827652,0.732731226942342,0.132731226942342,0.221782724681248,0.124938221911323,0.312841226158726
0.481220659716351,0.118779340283649,0.66559804498424,0.0655980449842397,0.162552065776331,0.0727283706609915,0.273048488962864
0.526448028579742,0.0735519714202583,0.698593703016198,0.098593703016198,0.234608008273071,0.0651884885717702,0.31322231666104
0.556794836409909,0.0432051635900914,0.718660519360539,0.118660519360539,0.195553996115528,0.127954482599829,0.293574438673163
0.509276117123559,0.0907238828764413,0.646704573200804,0.0467045732008041,0.175550446376605,0.0829074238497455,0.253779387544748
0.498248197074059,0.101751802925941,0.671037478619885,0.0710374786198852,0.154902573674585,0.0588408755877471,0.26253116795418
0.541644606065087,0.0583553939349131,0.70210030970631,0.10210030970631,0.206542397299464,0.118755999173111,0.307926528003085
